Year-Month,Method,Category,Format,TitleVolume,Activity,Unit,Sum
2018-05,Manual,Book,Book,Titles,additions,Cataloging,403
2018-05,Manual,Book,Book,Titles,additions,Serials,19
2018-05,Manual,Book,Book,Titles,withdraws,Cataloging,-9
2018-05,Manual,Book,Book,Titles,withdraws,Serials,-110
2018-05,Manual,Book,Book,Volumes,additions,Cataloging,413
2018-05,Manual,Book,Book,Volumes,additions,Serials,20
2018-05,Manual,Book,Book,Volumes,withdraws,Cataloging,-20
2018-05,Manual,Continuing,Periodical,Volumes,additions,Serials,8
2018-05,Manual,Continuing,Periodical,Volumes,withdraws,Serials,-28
2018-05,Manual,Continuing,Serial,Titles,additions,Serials,1
2018-05,Manual,Continuing,Serial,Titles,withdraws,Serials,-47
2018-05,Manual,Continuing,Serial,Volumes,additions,Serials,49
2018-05,Manual,Continuing,Serial,Volumes,withdraws,Serials,-837
2018-05,Manual,Document,Document,Titles,additions,Cataloging,1
